client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f2093_26,0,5,171,train,0.05882352963089943,4.1267313957214355
f2095_37,0,9,106,train,0.06315789371728897,4.109207630157471
f2103_60,0,4,177,train,0.0628930851817131,4.121641635894775
f2111_87,0,5,149,train,0.08955223858356476,4.121333122253418
f2143_66,0,9,176,train,0.050632912665605545,4.127678394317627
f2151_92,0,9,154,train,0.050724636763334274,4.115453243255615
f2165_54,0,2,149,train,0.08208955079317093,4.115903377532959
f2182_95,0,4,165,train,0.07432432472705841,4.119595527648926
f2188_71,0,6,164,train,0.06802721321582794,4.134405612945557
f2191_53,0,6,180,train,0.07407407462596893,4.12180233001709
f2193_99,0,1,178,train,0.06875000149011612,4.126862525939941
f2194_63,0,0,172,train,0.06493506580591202,4.1222944259643555
f2198_58,0,9,180,train,0.06790123134851456,4.125837326049805
f2218_51,0,3,147,train,0.06818182021379471,4.129321575164795
f2220_72,0,5,153,train,0.07299269735813141,4.12808084487915
f2223_83,0,2,178,train,0.07500000298023224,4.121291160583496
f2255_70,0,3,181,train,0.08024691045284271,4.121330261230469
f2258_85,0,3,100,train,0.04444444552063942,4.126359462738037
f2260_57,0,7,151,train,0.06666667014360428,4.127342224121094
f2262_83,0,6,167,train,0.06666667014360428,4.120490550994873
f2270_87,0,9,157,train,0.04964539036154747,4.143561840057373
f2275_90,0,6,14,train,0.1666666716337204,4.055562496185303
f2289_62,0,0,52,train,0.0,4.147219181060791
f2306_63,0,6,164,train,0.06802721321582794,4.123295783996582
f2313_55,0,9,176,train,0.06962025165557861,4.123798847198486
f2328_92,0,6,167,train,0.05999999865889549,4.130134582519531
f2329_94,0,0,117,train,0.03809523954987526,4.143774509429932
f2332_97,0,2,167,train,0.08666666597127914,4.117091655731201
f2340_80,0,7,179,train,0.06832297891378403,4.126779556274414
f2342_82,0,1,171,train,0.06535948067903519,4.132058620452881
f2381_54,0,4,155,train,0.057553958147764206,4.132426738739014
f2382_52,0,2,179,train,0.07453416287899017,4.125193119049072
f2391_85,0,7,174,train,0.07051282376050949,4.123095989227295
f2413_87,0,8,177,train,0.056603774428367615,4.1349005699157715
f2416_80,0,7,169,train,0.06578947603702545,4.127694606781006
f2435_57,0,8,161,train,0.0347222238779068,4.137617111206055
f2438_76,0,9,164,train,0.08163265138864517,4.1260223388671875
f2441_83,0,0,154,train,0.07246376574039459,4.124551296234131
f2466_76,0,0,170,train,0.06535948067903519,4.125281810760498
f2467_77,0,7,179,train,0.08074533939361572,4.122962951660156
f2472_83,0,5,155,train,0.050359711050987244,4.128109931945801
f2476_67,0,4,179,train,0.06832297891378403,4.124205112457275
f2482_62,0,7,171,train,0.05882352963089943,4.125730037689209
f2488_90,0,0,165,train,0.06756756454706192,4.121002197265625
f2497_54,0,6,180,train,0.06172839552164078,4.125330448150635
f2510_55,0,3,176,train,0.0569620244204998,4.132310390472412
f2511_52,0,8,182,train,0.07975459843873978,4.114588260650635
f2513_56,0,1,52,train,0.043478261679410934,4.1341681480407715
f2520_64,0,2,179,train,0.07453416287899017,4.123464107513428
f2526_71,0,0,172,train,0.07792207598686218,4.126201629638672
f2532_93,0,6,183,train,0.060975611209869385,4.126367568969727
f2539_96,0,6,160,train,0.0694444477558136,4.120063781738281
f2548_84,0,5,174,train,0.07692307978868484,4.1270365715026855
f2561_89,0,0,181,train,0.08024691045284271,4.119764804840088
f2586_75,0,3,112,train,0.05000000074505806,4.142399787902832
f2588_72,0,0,167,train,0.0533333346247673,4.130122661590576
f3107_16,0,0,174,train,0.07051282376050949,4.132819175720215
f3108_34,0,8,50,train,0.04444444552063942,4.1342244148254395
f3109_30,0,9,177,train,0.07547169923782349,4.122081756591797
f3171_30,0,1,178,train,0.05624999850988388,4.132265567779541
f3178_23,0,3,171,train,0.09803921729326248,4.116126537322998
f3215_34,0,1,149,train,0.0746268630027771,4.129809379577637
f3227_14,0,9,176,train,0.07594936341047287,4.122805595397949
f3230_21,0,3,183,train,0.07926829159259796,4.123568534851074
f3235_00,0,4,170,train,0.07189542800188065,4.120996475219727
f3236_26,0,4,9,train,0.375,4.024302959442139
f3256_38,0,2,168,train,0.08609271794557571,4.125804901123047
f3270_11,0,1,169,train,0.06578947603702545,4.118951797485352
f3271_09,0,7,177,train,0.0628930851817131,4.124484539031982
f3276_49,0,6,184,train,0.06060606241226196,4.124780654907227
f3289_18,0,1,181,train,0.06790123134851456,4.124014854431152
f3293_30,0,0,165,train,0.06081081181764603,4.1319403648376465
f3310_44,0,4,167,train,0.06666667014360428,4.128537178039551
f3314_25,0,7,175,train,0.07643312215805054,4.1251540184021
f3327_11,0,1,183,train,0.0731707289814949,4.124192237854004
f3333_15,0,4,184,train,0.06666667014360428,4.121533393859863
f3336_15,0,2,170,train,0.05228758230805397,4.1255784034729
f3341_29,0,8,180,train,0.06172839552164078,4.128951072692871
f3343_18,0,5,169,train,0.08552631735801697,4.119193077087402
f3346_12,0,1,168,train,0.06622516363859177,4.13062858581543
f3349_22,0,2,173,train,0.04516129195690155,4.131540298461914
f3353_33,0,4,161,train,0.0625,4.128103256225586
f3362_03,0,0,178,train,0.05624999850988388,4.127458572387695
f3393_08,0,0,163,train,0.07534246891736984,4.121399402618408
f3418_34,0,0,161,train,0.0625,4.1234307289123535
f3440_33,0,3,177,train,0.0628930851817131,4.126587867736816
f3444_07,0,4,107,train,0.0729166641831398,4.126077175140381
f3451_01,0,8,154,train,0.05797101557254791,4.133969306945801
f3453_15,0,5,180,train,0.06172839552164078,4.131409645080566
